Entity Type,Medical Device,Regulatory Notes,Context_Multiplier,Estimate Repair Price (USD),Adjusted Estimate Repair Price (USD),Final Estimated Repair Price (USD),Estimate Purchase Price (USD),Annual Maintenance Cost (USD),"Total Cost of Ownership (5 Years, USD)"
CT center,Tympanometer,ACR Accreditation; NRC/State Radiation; MQSA (mammography); HIPAA; OSHA; IAEA Basic Safety Standards; EURATOM (EU),1,18000,18000,580,4175,289.09,7000
CT center,MRI,ACR Accreditation; NRC/State Radiation; MQSA (mammography); HIPAA; OSHA; IAEA Basic Safety Standards; EURATOM (EU),1,18000,18000,17750,442000,40917.3,691000
CT center,CT,ACR Accreditation; NRC/State Radiation; MQSA (mammography); HIPAA; OSHA; IAEA Basic Safety Standards; EURATOM (EU),1,18000,18000,9250,171000,18020.9,284000
CT center,DEXA,ACR Accreditation; NRC/State Radiation; MQSA (mammography); HIPAA; OSHA; IAEA Basic Safety Standards; EURATOM (EU),1,18000,18000,18000,123500,8212.44,209500
CT center,Gastroscope,ACR Accreditation; NRC/State Radiation; MQSA (mammography); HIPAA; OSHA; IAEA Basic Safety Standards; EURATOM (EU),1,18000,18000,2450,17250,1299.8,29750
CT center,Colonoscope,ACR Accreditation; NRC/State Radiation; MQSA (mammography); HIPAA; OSHA; IAEA Basic Safety Standards; EURATOM (EU),1,18000,18000,2425,16250,1232.99,28500
CT center,Light source,ACR Accreditation; NRC/State Radiation; MQSA (mammography); HIPAA; OSHA; IAEA Basic Safety Standards; EURATOM (EU),1,18000,18000,920,9500,605.04,14750
CT center,ESU,ACR Accreditation; NRC/State Radiation; MQSA (mammography); HIPAA; OSHA; IAEA Basic Safety Standards; EURATOM (EU),1,18000,18000,970,4675,379.99,9000
CT center,C-arm,ACR Accreditation; NRC/State Radiation; MQSA (mammography); HIPAA; OSHA; IAEA Basic Safety Standards; EURATOM (EU),1,18000,18000,7000,71500,7799.32,128000
Ultrasound/sonography,MRI scanner,ACR Accreditation; NRC/State Radiation; MQSA (mammography); HIPAA; OSHA; IAEA Basic Safety Standards; EURATOM (EU),1,18000,18000,18250,452500,46829.85,732500
Ultrasound/sonography,CT scanner,ACR Accreditation; NRC/State Radiation; MQSA (mammography); HIPAA; OSHA; IAEA Basic Safety Standards; EURATOM (EU),1,18000,18000,9000,159500,15228.95,258000
Ultrasound/sonography,Digital X-ray,ACR Accreditation; NRC/State Radiation; MQSA (mammography); HIPAA; OSHA; IAEA Basic Safety Standards; EURATOM (EU),1,18000,18000,3450,35250,3498.84,61500
Ultrasound/sonography,Mammography system,ACR Accreditation; NRC/State Radiation; MQSA (mammography); HIPAA; OSHA; IAEA Basic Safety Standards; EURATOM (EU),1,18000,18000,4575,55500,5163.03,93000
Ultrasound/sonography,Ultrasound,ACR Accreditation; NRC/State Radiation; MQSA (mammography); HIPAA; OSHA; IAEA Basic Safety Standards; EURATOM (EU),1,18000,18000,1175,9500,732.66,16000
Ultrasound/sonography,DEXA (bone densitometer),ACR Accreditation; NRC/State Radiation; MQSA (mammography); HIPAA; OSHA; IAEA Basic Safety Standards; EURATOM (EU),1,18000,18000,17750,128000,9048.51,217500
Ultrasound/sonography,PACS workstation,ACR Accreditation; NRC/State Radiation; MQSA (mammography); HIPAA; OSHA; IAEA Basic Safety Standards; EURATOM (EU),1,18000,18000,1225,9000,685.48,15500
Ultrasound/sonography,MRI,ACR Accreditation; NRC/State Radiation; MQSA (mammography); HIPAA; OSHA; IAEA Basic Safety Standards; EURATOM (EU),1,18000,18000,18500,469000,44860.16,739500
Ultrasound/sonography,CT,ACR Accreditation; NRC/State Radiation; MQSA (mammography); HIPAA; OSHA; IAEA Basic Safety Standards; EURATOM (EU),1,18000,18000,9250,159500,16262.76,264000
Ultrasound/sonography,DEXA,ACR Accreditation; NRC/State Radiation; MQSA (mammography); HIPAA; OSHA; IAEA Basic Safety Standards; EURATOM (EU),1,18000,18000,17750,122500,9210.24,213000
Ultrasound/sonography,PACS,ACR Accreditation; NRC/State Radiation; MQSA (mammography); HIPAA; OSHA; IAEA Basic Safety Standards; EURATOM (EU),1,18000,18000,1225,9000,588.49,15000
Mammography center,Anesthesia machine,ACR Accreditation; NRC/State Radiation; MQSA (mammography); HIPAA; OSHA; IAEA Basic Safety Standards; EURATOM (EU),1,18000,18000,2175,16000,1267.1,27750
Mammography center,Operating table,ACR Accreditation; NRC/State Radiation; MQSA (mammography); HIPAA; OSHA; IAEA Basic Safety Standards; EURATOM (EU),1,18000,18000,1400,6750,651.45,13500
Mammography center,Surgical lights,ACR Accreditation; NRC/State Radiation; MQSA (mammography); HIPAA; OSHA; IAEA Basic Safety Standards; EURATOM (EU),1,18000,18000,930,4825,422.79,9250
Mammography center,Patient monitor,ACR Accreditation; NRC/State Radiation; MQSA (mammography); HIPAA; OSHA; IAEA Basic Safety Standards; EURATOM (EU),1,18000,18000,670,4675,360.93,8250
Mammography center,Infusion pumps,ACR Accreditation; NRC/State Radiation; MQSA (mammography); HIPAA; OSHA; IAEA Basic Safety Standards; EURATOM (EU),1,18000,18000,17500,127500,9760.63,220000
Mammography center,Electrosurgical unit (ESU),ACR Accreditation; NRC/State Radiation; MQSA (mammography); HIPAA; OSHA; IAEA Basic Safety Standards; EURATOM (EU),1,18000,18000,940,4625,487.67,9500
Mammography center,Suction regulator,ACR Accreditation; NRC/State Radiation; MQSA (mammography); HIPAA; OSHA; IAEA Basic Safety Standards; EURATOM (EU),1,18000,18000,230,1550,145.5,2850
Mammography center,Autoclave,ACR Accreditation; NRC/State Radiation; MQSA (mammography); HIPAA; OSHA; IAEA Basic Safety Standards; EURATOM (EU),1,18000,18000,1375,6750,653.46,13500
Mammography center,Washer-disinfector,ACR Accreditation; NRC/State Radiation; MQSA (mammography); HIPAA; OSHA; IAEA Basic Safety Standards; EURATOM (EU),1,18000,18000,1250,7250,696.87,13750
Mammography center,Endoscopy tower,ACR Accreditation; NRC/State Radiation; MQSA (mammography); HIPAA; OSHA; IAEA Basic Safety Standards; EURATOM (EU),1,18000,18000,2450,24750,1608.51,39000
Mammography center,Insufflator,ACR Accreditation; NRC/State Radiation; MQSA (mammography); HIPAA; OSHA; IAEA Basic Safety Standards; EURATOM (EU),1,18000,18000,910,9500,639.04,15000
Mammography center,C-arm fluoroscopy (orthopedics),ACR Accreditation; NRC/State Radiation; MQSA (mammography); HIPAA; OSHA; IAEA Basic Safety Standards; EURATOM (EU),1,18000,18000,7250,72500,6717.32,124000
Mammography center,Tourniquet system,ACR Accreditation; NRC/State Radiation; MQSA (mammography); HIPAA; OSHA; IAEA Basic Safety Standards; EURATOM (EU),1,18000,18000,18000,120000,8746.82,208500
Mammography center,MRI scanner,ACR Accreditation; NRC/State Radiation; MQSA (mammography); HIPAA; OSHA; IAEA Basic Safety Standards; EURATOM (EU),1,18000,18000,18250,453500,41851.47,708500
Mammography center,CT scanner,ACR Accreditation; NRC/State Radiation; MQSA (mammography); HIPAA; OSHA; IAEA Basic Safety Standards; EURATOM (EU),1,18000,18000,9250,174500,17994.95,287500
Mammography center,Digital X-ray,ACR Accreditation; NRC/State Radiation; MQSA (mammography); HIPAA; OSHA; IAEA Basic Safety Standards; EURATOM (EU),1,18000,18000,3450,35250,3664.19,62000
Mammography center,Mammography system,ACR Accreditation; NRC/State Radiation; MQSA (mammography); HIPAA; OSHA; IAEA Basic Safety Standards; EURATOM (EU),1,18000,18000,4400,50500,4657.65,85000
Mammography center,Ultrasound,ACR Accreditation; NRC/State Radiation; MQSA (mammography); HIPAA; OSHA; IAEA Basic Safety Standards; EURATOM (EU),1,18000,18000,1200,9500,761.39,16250
Mammography center,DEXA (bone densitometer),ACR Accreditation; NRC/State Radiation; MQSA (mammography); HIPAA; OSHA; IAEA Basic Safety Standards; EURATOM (EU),1,18000,18000,17750,119500,7787.88,203000
Mammography center,PACS workstation,ACR Accreditation; NRC/State Radiation; MQSA (mammography); HIPAA; OSHA; IAEA Basic Safety Standards; EURATOM (EU),1,18000,18000,1175,8250,600.18,14250
Mammography center,Hemodialysis machine,ACR Accreditation; NRC/State Radiation; MQSA (mammography); HIPAA; OSHA; IAEA Basic Safety Standards; EURATOM (EU),1,18000,18000,2450,29750,2188.34,46750
Mammography center,Water purification system (RO),ACR Accreditation; NRC/State Radiation; MQSA (mammography); HIPAA; OSHA; IAEA Basic Safety Standards; EURATOM (EU),1,18000,18000,2450,28000,2037.76,44250
Mammography center,Dialyzer reprocessing*,ACR Accreditation; NRC/State Radiation; MQSA (mammography); HIPAA; OSHA; IAEA Basic Safety Standards; EURATOM (EU),1,18000,18000,2575,18750,1336.68,31750
Mammography center,Weighing scale,ACR Accreditation; NRC/State Radiation; MQSA (mammography); HIPAA; OSHA; IAEA Basic Safety Standards; EURATOM (EU),1,18000,18000,18500,123500,8221.26,211000
Mammography center,Heparin pump,ACR Accreditation; NRC/State Radiation; MQSA (mammography); HIPAA; OSHA; IAEA Basic Safety Standards; EURATOM (EU),1,18000,18000,18500,129500,9222.2,222000
Mammography center,Endoscope (rigid/flexible),ACR Accreditation; NRC/State Radiation; MQSA (mammography); HIPAA; OSHA; IAEA Basic Safety Standards; EURATOM (EU),1,18000,18000,2450,25500,1940.55,41250
Mammography center,Video tower,ACR Accreditation; NRC/State Radiation; MQSA (mammography); HIPAA; OSHA; IAEA Basic Safety Standards; EURATOM (EU),1,18000,18000,17750,125000,8044,209500
Mammography center,Suction,ACR Accreditation; NRC/State Radiation; MQSA (mammography); HIPAA; OSHA; IAEA Basic Safety Standards; EURATOM (EU),1,18000,18000,540,3775,407.32,7250
Mammography center,Microscope,ACR Accreditation; NRC/State Radiation; MQSA (mammography); HIPAA; OSHA; IAEA Basic Safety Standards; EURATOM (EU),1,18000,18000,500,3375,246.46,5750
Mammography center,Audiometer,ACR Accreditation; NRC/State Radiation; MQSA (mammography); HIPAA; OSHA; IAEA Basic Safety Standards; EURATOM (EU),1,18000,18000,610,4200,265.25,7000
Mammography center,Tympanometer,ACR Accreditation; NRC/State Radiation; MQSA (mammography); HIPAA; OSHA; IAEA Basic Safety Standards; EURATOM (EU),1,18000,18000,600,4275,318.69,7250
Mammography center,MRI,ACR Accreditation; NRC/State Radiation; MQSA (mammography); HIPAA; OSHA; IAEA Basic Safety Standards; EURATOM (EU),1,18000,18000,17750,454500,45347.95,725500
Mammography center,CT,ACR Accreditation; NRC/State Radiation; MQSA (mammography); HIPAA; OSHA; IAEA Basic Safety Standards; EURATOM (EU),1,18000,18000,9000,167000,15586,267500
Mammography center,DEXA,ACR Accreditation; NRC/State Radiation; MQSA (mammography); HIPAA; OSHA; IAEA Basic Safety Standards; EURATOM (EU),1,18000,18000,17500,121000,7849.57,204000
Mammography center,PACS,ACR Accreditation; NRC/State Radiation; MQSA (mammography); HIPAA; OSHA; IAEA Basic Safety Standards; EURATOM (EU),1,18000,18000,1225,8250,569.58,14250
Mammography center,Gastroscope,ACR Accreditation; NRC/State Radiation; MQSA (mammography); HIPAA; OSHA; IAEA Basic Safety Standards; EURATOM (EU),1,18000,18000,2500,17250,1153.51,29250
Mammography center,Colonoscope,ACR Accreditation; NRC/State Radiation; MQSA (mammography); HIPAA; OSHA; IAEA Basic Safety Standards; EURATOM (EU),1,18000,18000,2550,17000,1140.71,29000
Mammography center,Light source,ACR Accreditation; NRC/State Radiation; MQSA (mammography); HIPAA; OSHA; IAEA Basic Safety Standards; EURATOM (EU),1,18000,18000,880,9000,679.44,14500
Mammography center,ESU,ACR Accreditation; NRC/State Radiation; MQSA (mammography); HIPAA; OSHA; IAEA Basic Safety Standards; EURATOM (EU),1,18000,18000,960,4925,487.45,9750
Mammography center,C-arm,ACR Accreditation; NRC/State Radiation; MQSA (mammography); HIPAA; OSHA; IAEA Basic Safety Standards; EURATOM (EU),1,18000,18000,7000,73500,8060.46,131500
X-ray clinic,MRI scanner,ACR Accreditation; NRC/State Radiation; MQSA (mammography); HIPAA; OSHA; IAEA Basic Safety Standards; EURATOM (EU),1,18000,18000,18000,444500,45064,715000
X-ray clinic,CT scanner,ACR Accreditation; NRC/State Radiation; MQSA (mammography); HIPAA; OSHA; IAEA Basic Safety Standards; EURATOM (EU),1,18000,18000,9000,168500,17365.33,278000
X-ray clinic,Digital X-ray,ACR Accreditation; NRC/State Radiation; MQSA (mammography); HIPAA; OSHA; IAEA Basic Safety Standards; EURATOM (EU),1,18000,18000,3575,35500,3506.42,62000
X-ray clinic,Mammography system,ACR Accreditation; NRC/State Radiation; MQSA (mammography); HIPAA; OSHA; IAEA Basic Safety Standards; EURATOM (EU),1,18000,18000,4550,56000,5474.6,94500
X-ray clinic,Ultrasound,ACR Accreditation; NRC/State Radiation; MQSA (mammography); HIPAA; OSHA; IAEA Basic Safety Standards; EURATOM (EU),1,18000,18000,1200,9250,783.27,16250
X-ray clinic,DEXA (bone densitometer),ACR Accreditation; NRC/State Radiation; MQSA (mammography); HIPAA; OSHA; IAEA Basic Safety Standards; EURATOM (EU),1,18000,18000,17750,122000,8571.15,209000
X-ray clinic,PACS workstation,ACR Accreditation; NRC/State Radiation; MQSA (mammography); HIPAA; OSHA; IAEA Basic Safety Standards; EURATOM (EU),1,18000,18000,1175,7750,541.13,13500
X-ray clinic,Examination table,ACR Accreditation; NRC/State Radiation; MQSA (mammography); HIPAA; OSHA; IAEA Basic Safety Standards; EURATOM (EU),1,18000,18000,18000,132000,9124.85,222500
X-ray clinic,Autoclave,ACR Accreditation; NRC/State Radiation; MQSA (mammography); HIPAA; OSHA; IAEA Basic Safety Standards; EURATOM (EU),1,18000,18000,1450,7500,649.34,14250
X-ray clinic,ECG/EKG,ACR Accreditation; NRC/State Radiation; MQSA (mammography); HIPAA; OSHA; IAEA Basic Safety Standards; EURATOM (EU),1,18000,18000,450,3150,233.41,5500
X-ray clinic,Vital signs monitor,ACR Accreditation; NRC/State Radiation; MQSA (mammography); HIPAA; OSHA; IAEA Basic Safety Standards; EURATOM (EU),1,18000,18000,18000,129500,10652.11,228000
X-ray clinic,Doppler/ABI,ACR Accreditation; NRC/State Radiation; MQSA (mammography); HIPAA; OSHA; IAEA Basic Safety Standards; EURATOM (EU),1,18000,18000,17750,121000,7685.5,204000
X-ray clinic,Spirometer,ACR Accreditation; NRC/State Radiation; MQSA (mammography); HIPAA; OSHA; IAEA Basic Safety Standards; EURATOM (EU),1,18000,18000,18250,133500,9258.08,225500
X-ray clinic,Thermometer,ACR Accreditation; NRC/State Radiation; MQSA (mammography); HIPAA; OSHA; IAEA Basic Safety Standards; EURATOM (EU),1,18000,18000,18250,122000,8631.92,211000
X-ray clinic,Otoscope/Ophthalmoscope,ACR Accreditation; NRC/State Radiation; MQSA (mammography); HIPAA; OSHA; IAEA Basic Safety Standards; EURATOM (EU),1,18000,18000,17500,121500,8275.78,206500
X-ray clinic,Centrifuge,ACR Accreditation; NRC/State Radiation; MQSA (mammography); HIPAA; OSHA; IAEA Basic Safety Standards; EURATOM (EU),1,18000,18000,600,3575,254.22,6250
X-ray clinic,Refrigerator,ACR Accreditation; NRC/State Radiation; MQSA (mammography); HIPAA; OSHA; IAEA Basic Safety Standards; EURATOM (EU),1,18000,18000,700,5000,341.65,8500
X-ray clinic,Defibrillator (AED),ACR Accreditation; NRC/State Radiation; MQSA (mammography); HIPAA; OSHA; IAEA Basic Safety Standards; EURATOM (EU),1,18000,18000,840,4300,347.67,8250
X-ray clinic,Pulse oximeter,ACR Accreditation; NRC/State Radiation; MQSA (mammography); HIPAA; OSHA; IAEA Basic Safety Standards; EURATOM (EU),1,18000,18000,18250,132500,8887.72,222500
X-ray clinic,MRI,ACR Accreditation; NRC/State Radiation; MQSA (mammography); HIPAA; OSHA; IAEA Basic Safety Standards; EURATOM (EU),1,18000,18000,18000,431000,45491.95,703500
X-ray clinic,CT,ACR Accreditation; NRC/State Radiation; MQSA (mammography); HIPAA; OSHA; IAEA Basic Safety Standards; EURATOM (EU),1,18000,18000,9250,161500,17714.08,273000
X-ray clinic,DEXA,ACR Accreditation; NRC/State Radiation; MQSA (mammography); HIPAA; OSHA; IAEA Basic Safety Standards; EURATOM (EU),1,18000,18000,17750,130000,9771.51,223000
X-ray clinic,PACS,ACR Accreditation; NRC/State Radiation; MQSA (mammography); HIPAA; OSHA; IAEA Basic Safety Standards; EURATOM (EU),1,18000,18000,1225,9000,591.22,15000
Fluoroscopy suite,MRI scanner,ACR Accreditation; NRC/State Radiation; MQSA (mammography); HIPAA; OSHA; IAEA Basic Safety Standards; EURATOM (EU),1.25,18000,22500,22750,562500,60981.55,924500
Fluoroscopy suite,CT scanner,ACR Accreditation; NRC/State Radiation; MQSA (mammography); HIPAA; OSHA; IAEA Basic Safety Standards; EURATOM (EU),1.25,18000,22500,11500,210000,21358.74,345500
Fluoroscopy suite,Digital X-ray,ACR Accreditation; NRC/State Radiation; MQSA (mammography); HIPAA; OSHA; IAEA Basic Safety Standards; EURATOM (EU),1.25,18000,22500,4450,43500,4613.91,77500
Fluoroscopy suite,Mammography system,ACR Accreditation; NRC/State Radiation; MQSA (mammography); HIPAA; OSHA; IAEA Basic Safety Standards; EURATOM (EU),1.25,18000,22500,5500,67500,6240.7,112500
Fluoroscopy suite,Ultrasound,ACR Accreditation; NRC/State Radiation; MQSA (mammography); HIPAA; OSHA; IAEA Basic Safety Standards; EURATOM (EU),1.25,18000,22500,1500,12250,1023.21,21000
Fluoroscopy suite,DEXA (bone densitometer),ACR Accreditation; NRC/State Radiation; MQSA (mammography); HIPAA; OSHA; IAEA Basic Safety Standards; EURATOM (EU),1.25,18000,22500,22250,157500,10631.59,266500
Fluoroscopy suite,PACS workstation,ACR Accreditation; NRC/State Radiation; MQSA (mammography); HIPAA; OSHA; IAEA Basic Safety Standards; EURATOM (EU),1.25,18000,22500,1500,10250,744.65,17750
Fluoroscopy suite,MRI,ACR Accreditation; NRC/State Radiation; MQSA (mammography); HIPAA; OSHA; IAEA Basic Safety Standards; EURATOM (EU),1.25,18000,22500,22250,571500,55445.7,904500
Fluoroscopy suite,CT,ACR Accreditation; NRC/State Radiation; MQSA (mammography); HIPAA; OSHA; IAEA Basic Safety Standards; EURATOM (EU),1.25,18000,22500,11500,212000,21018.97,346000
Fluoroscopy suite,DEXA,ACR Accreditation; NRC/State Radiation; MQSA (mammography); HIPAA; OSHA; IAEA Basic Safety Standards; EURATOM (EU),1.25,18000,22500,21500,147000,10272.06,252000
Fluoroscopy suite,PACS,ACR Accreditation; NRC/State Radiation; MQSA (mammography); HIPAA; OSHA; IAEA Basic Safety Standards; EURATOM (EU),1.25,18000,22500,1525,10500,666.08,17750
Nuclear medicine,MRI scanner,ACR Accreditation; NRC/State Radiation; MQSA (mammography); HIPAA; OSHA; IAEA Basic Safety Standards; EURATOM (EU),1.25,18000,22500,22250,569500,52134.84,886000
Nuclear medicine,CT scanner,ACR Accreditation; NRC/State Radiation; MQSA (mammography); HIPAA; OSHA; IAEA Basic Safety Standards; EURATOM (EU),1.25,18000,22500,11250,202500,18305.19,322000
Nuclear medicine,Digital X-ray,ACR Accreditation; NRC/State Radiation; MQSA (mammography); HIPAA; OSHA; IAEA Basic Safety Standards; EURATOM (EU),1.25,18000,22500,4300,44750,4699.93,79000
Nuclear medicine,Mammography system,ACR Accreditation; NRC/State Radiation; MQSA (mammography); HIPAA; OSHA; IAEA Basic Safety Standards; EURATOM (EU),1.25,18000,22500,5750,69500,6738.55,117500
Nuclear medicine,Ultrasound,ACR Accreditation; NRC/State Radiation; MQSA (mammography); HIPAA; OSHA; IAEA Basic Safety Standards; EURATOM (EU),1.25,18000,22500,1475,12500,920.25,20750
Nuclear medicine,DEXA (bone densitometer),ACR Accreditation; NRC/State Radiation; MQSA (mammography); HIPAA; OSHA; IAEA Basic Safety Standards; EURATOM (EU),1.25,18000,22500,23250,161000,10992.95,274000
Nuclear medicine,PACS workstation,ACR Accreditation; NRC/State Radiation; MQSA (mammography); HIPAA; OSHA; IAEA Basic Safety Standards; EURATOM (EU),1.25,18000,22500,1500,10750,816.62,18500
Nuclear medicine,MRI,ACR Accreditation; NRC/State Radiation; MQSA (mammography); HIPAA; OSHA; IAEA Basic Safety Standards; EURATOM (EU),1.25,18000,22500,23000,553500,56071.15,891500
Nuclear medicine,CT,ACR Accreditation; NRC/State Radiation; MQSA (mammography); HIPAA; OSHA; IAEA Basic Safety Standards; EURATOM (EU),1.25,18000,22500,11000,205500,18758.53,327000
Nuclear medicine,DEXA,ACR Accreditation; NRC/State Radiation; MQSA (mammography); HIPAA; OSHA; IAEA Basic Safety Standards; EURATOM (EU),1.25,18000,22500,22750,156000,11680.72,271500
Nuclear medicine,PACS,ACR Accreditation; NRC/State Radiation; MQSA (mammography); HIPAA; OSHA; IAEA Basic Safety Standards; EURATOM (EU),1.25,18000,22500,1500,10500,784.47,18250
PET/CT center,Anesthesia machine,ACR Accreditation; NRC/State Radiation; MQSA (mammography); HIPAA; OSHA; IAEA Basic Safety Standards; EURATOM (EU),1,18000,18000,2200,15750,1308.42,27750
PET/CT center,Operating table,ACR Accreditation; NRC/State Radiation; MQSA (mammography); HIPAA; OSHA; IAEA Basic Safety Standards; EURATOM (EU),1,18000,18000,1400,6750,565.87,13000
PET/CT center,Surgical lights,ACR Accreditation; NRC/State Radiation; MQSA (mammography); HIPAA; OSHA; IAEA Basic Safety Standards; EURATOM (EU),1,18000,18000,920,4700,456.99,9250
PET/CT center,Patient monitor,ACR Accreditation; NRC/State Radiation; MQSA (mammography); HIPAA; OSHA; IAEA Basic Safety Standards; EURATOM (EU),1,18000,18000,660,4750,344.32,8000
PET/CT center,Infusion pumps,ACR Accreditation; NRC/State Radiation; MQSA (mammography); HIPAA; OSHA; IAEA Basic Safety Standards; EURATOM (EU),1,18000,18000,17500,126500,9085.18,215500
PET/CT center,Electrosurgical unit (ESU),ACR Accreditation; NRC/State Radiation; MQSA (mammography); HIPAA; OSHA; IAEA Basic Safety Standards; EURATOM (EU),1,18000,18000,940,4775,452.31,9500
PET/CT center,Suction regulator,ACR Accreditation; NRC/State Radiation; MQSA (mammography); HIPAA; OSHA; IAEA Basic Safety Standards; EURATOM (EU),1,18000,18000,220,1500,157.14,2825
PET/CT center,Autoclave,ACR Accreditation; NRC/State Radiation; MQSA (mammography); HIPAA; OSHA; IAEA Basic Safety Standards; EURATOM (EU),1,18000,18000,1425,7000,664.31,14000
PET/CT center,Washer-disinfector,ACR Accreditation; NRC/State Radiation; MQSA (mammography); HIPAA; OSHA; IAEA Basic Safety Standards; EURATOM (EU),1,18000,18000,1325,8000,750.52,15000
PET/CT center,Endoscopy tower,ACR Accreditation; NRC/State Radiation; MQSA (mammography); HIPAA; OSHA; IAEA Basic Safety Standards; EURATOM (EU),1,18000,18000,2425,23250,1604.24,37250
PET/CT center,Insufflator,ACR Accreditation; NRC/State Radiation; MQSA (mammography); HIPAA; OSHA; IAEA Basic Safety Standards; EURATOM (EU),1,18000,18000,880,8500,629.41,13750
PET/CT center,C-arm fluoroscopy (orthopedics),ACR Accreditation; NRC/State Radiation; MQSA (mammography); HIPAA; OSHA; IAEA Basic Safety Standards; EURATOM (EU),1,18000,18000,7000,66500,6147.54,114500
PET/CT center,Tourniquet system,ACR Accreditation; NRC/State Radiation; MQSA (mammography); HIPAA; OSHA; IAEA Basic Safety Standards; EURATOM (EU),1,18000,18000,18000,130000,8649.69,218000
PET/CT center,MRI scanner,ACR Accreditation; NRC/State Radiation; MQSA (mammography); HIPAA; OSHA; IAEA Basic Safety Standards; EURATOM (EU),1,18000,18000,18500,462000,47256.35,744500
PET/CT center,CT scanner,ACR Accreditation; NRC/State Radiation; MQSA (mammography); HIPAA; OSHA; IAEA Basic Safety Standards; EURATOM (EU),1,18000,18000,9000,164500,17984.32,277000
PET/CT center,Digital X-ray,ACR Accreditation; NRC/State Radiation; MQSA (mammography); HIPAA; OSHA; IAEA Basic Safety Standards; EURATOM (EU),1,18000,18000,3450,34250,3611.14,61000
PET/CT center,Mammography system,ACR Accreditation; NRC/State Radiation; MQSA (mammography); HIPAA; OSHA; IAEA Basic Safety Standards; EURATOM (EU),1,18000,18000,4575,55000,5788.11,95500
PET/CT center,Ultrasound,ACR Accreditation; NRC/State Radiation; MQSA (mammography); HIPAA; OSHA; IAEA Basic Safety Standards; EURATOM (EU),1,18000,18000,1225,10250,741.49,17000
PET/CT center,DEXA (bone densitometer),ACR Accreditation; NRC/State Radiation; MQSA (mammography); HIPAA; OSHA; IAEA Basic Safety Standards; EURATOM (EU),1,18000,18000,18250,125000,8896.09,215000
PET/CT center,PACS workstation,ACR Accreditation; NRC/State Radiation; MQSA (mammography); HIPAA; OSHA; IAEA Basic Safety Standards; EURATOM (EU),1,18000,18000,1175,8250,553.1,14000
PET/CT center,EEG,ACR Accreditation; NRC/State Radiation; MQSA (mammography); HIPAA; OSHA; IAEA Basic Safety Standards; EURATOM (EU),1,18000,18000,18000,125500,8921.61,215000
PET/CT center,EMG/NCS,ACR Accreditation; NRC/State Radiation; MQSA (mammography); HIPAA; OSHA; IAEA Basic Safety Standards; EURATOM (EU),1,18000,18000,18250,130000,9151.52,221500
PET/CT center,Evoked potentials system,ACR Accreditation; NRC/State Radiation; MQSA (mammography); HIPAA; OSHA; IAEA Basic Safety Standards; EURATOM (EU),1,18000,18000,17750,130000,9509.52,222000
PET/CT center,MRI access,ACR Accreditation; NRC/State Radiation; MQSA (mammography); HIPAA; OSHA; IAEA Basic Safety Standards; EURATOM (EU),1,18000,18000,18000,429500,40541.68,677000
PET/CT center,Infusion pump (if infusion therapy),ACR Accreditation; NRC/State Radiation; MQSA (mammography); HIPAA; OSHA; IAEA Basic Safety Standards; EURATOM (EU),1,18000,18000,17500,122500,8382.33,208000
PET/CT center,TMS system (where available),ACR Accreditation; NRC/State Radiation; MQSA (mammography); HIPAA; OSHA; IAEA Basic Safety Standards; EURATOM (EU),1,18000,18000,18000,132000,9217.61,223000
PET/CT center,Infusion pump,ACR Accreditation; NRC/State Radiation; MQSA (mammography); HIPAA; OSHA; IAEA Basic Safety Standards; EURATOM (EU),1,18000,18000,18250,133500,8659.76,222500
PET/CT center,Syringe pump,ACR Accreditation; NRC/State Radiation; MQSA (mammography); HIPAA; OSHA; IAEA Basic Safety Standards; EURATOM (EU),1,18000,18000,18250,126500,8217.53,213000
PET/CT center,CT/MRI access,ACR Accreditation; NRC/State Radiation; MQSA (mammography); HIPAA; OSHA; IAEA Basic Safety Standards; EURATOM (EU),1,18000,18000,18250,437500,46859.71,717500
PET/CT center,Radiation therapy equipment (linac)*,ACR Accreditation; NRC/State Radiation; MQSA (mammography); HIPAA; OSHA; IAEA Basic Safety Standards; EURATOM (EU),1,18000,18000,12250,311000,21546.67,449500
PET/CT center,PACS,ACR Accreditation; NRC/State Radiation; MQSA (mammography); HIPAA; OSHA; IAEA Basic Safety Standards; EURATOM (EU),1,18000,18000,1175,8250,588.19,14250
PET/CT center,Port access supplies,ACR Accreditation; NRC/State Radiation; MQSA (mammography); HIPAA; OSHA; IAEA Basic Safety Standards; EURATOM (EU),1,18000,18000,18250,129000,9702.54,223000
PET/CT center,Hemodialysis machine,ACR Accreditation; NRC/State Radiation; MQSA (mammography); HIPAA; OSHA; IAEA Basic Safety Standards; EURATOM (EU),1,18000,18000,2525,30250,2030.38,46750
PET/CT center,Water purification system (RO),ACR Accreditation; NRC/State Radiation; MQSA (mammography); HIPAA; OSHA; IAEA Basic Safety Standards; EURATOM (EU),1,18000,18000,2450,28500,1867.64,44000
PET/CT center,Dialyzer reprocessing*,ACR Accreditation; NRC/State Radiation; MQSA (mammography); HIPAA; OSHA; IAEA Basic Safety Standards; EURATOM (EU),1,18000,18000,2450,17500,1338.95,30250
